Nozzle Height,Wind Speed,dep_10m
0.6,1.22,0.5098694103998175
0.6,1.5671428571428572,0.4656985697601857
0.6,1.9142857142857141,0.4373261281846644
0.6,2.2614285714285716,0.4688849028633965
0.6,2.6085714285714285,0.5367350618445402
0.6,2.9557142857142855,0.5852810022633245
0.6,3.3028571428571425,0.6313300309631774
0.6,3.65,0.6529891123948086
0.6571428571428571,1.22,0.6484304529427659
0.6571428571428571,1.5671428571428572,0.6374882159357302
0.6571428571428571,1.9142857142857141,0.6434081561463652
0.6571428571428571,2.2614285714285716,0.6380032211710258
0.6571428571428571,2.6085714285714285,0.6324299763055479
0.6571428571428571,2.9557142857142855,0.6158092342954035
0.6571428571428571,3.3028571428571425,0.5921248334911278
0.6571428571428571,3.65,0.5777200580675944
0.7142857142857143,1.22,0.6290077539278145
0.7142857142857143,1.5671428571428572,0.5882222352949125
0.7142857142857143,1.9142857142857141,0.5425615844143132
0.7142857142857143,2.2614285714285716,0.505663260682045
0.7142857142857143,2.6085714285714285,0.4750540917147077
0.7142857142857143,2.9557142857142855,0.4522462670798818
0.7142857142857143,3.3028571428571425,0.4556481664834947
0.7142857142857143,3.65,0.5366791136669117
0.7714285714285714,1.22,0.5330151850454288
0.7714285714285714,1.5671428571428572,0.4871912278941428
0.7714285714285714,1.9142857142857141,0.4548826752940023
0.7714285714285714,2.2614285714285716,0.4510662973742938
0.7714285714285714,2.6085714285714285,0.5262388181426223
0.7714285714285714,2.9557142857142855,0.6927060313683674
0.7714285714285714,3.3028571428571425,0.8425004700276777
0.7714285714285714,3.65,0.9741229429324925
0.8285714285714285,1.22,0.5683453268236204
0.8285714285714285,1.5671428571428572,0.6760827089319744
0.8285714285714285,1.9142857142857141,0.7885607138163995
0.8285714285714285,2.2614285714285716,0.8805874248992099
0.8285714285714285,2.6085714285714285,0.9523644812076293
0.8285714285714285,2.9557142857142855,1.0213708961836567
0.8285714285714285,3.3028571428571425,1.0579844447936493
0.8285714285714285,3.65,NaN
0.8857142857142857,1.22,0.8235565160700665
0.8857142857142857,1.5671428571428572,0.8583439056517597
0.8857142857142857,1.9142857142857141,0.8947559054134422
0.8857142857142857,2.2614285714285716,0.9026645490565741
0.8857142857142857,2.6085714285714285,0.9103534775128178
0.8857142857142857,2.9557142857142855,0.8779831856017616
0.8857142857142857,3.3028571428571425,0.9739838909422057
0.8857142857142857,3.65,1.2156302777822032
0.9428571428571428,1.22,0.8444046109113293
0.9428571428571428,1.5671428571428572,0.8206377841629406
0.9428571428571428,1.9142857142857141,0.7760177599271021
0.9428571428571428,2.2614285714285716,0.733896969530727
0.9428571428571428,2.6085714285714285,0.7233975000171694
0.9428571428571428,2.9557142857142855,0.9788314741465026
0.9428571428571428,3.3028571428571425,1.2492505222925485
0.9428571428571428,3.65,1.5101652399522403
1.0,1.22,0.7612259020543253
1.0,1.5671428571428572,0.6935144435946888
1.0,1.9142857142857141,0.6401481376182183
1.0,2.2614285714285716,NaN
1.0,2.6085714285714285,1.007836429214566
1.0,2.9557142857142855,1.3015813452772746
1.0,3.3028571428571425,1.5715280354805714
1.0,3.65,1.8149821831583475
