Wind Speed,Relative Humidity,dep_10m
1.22,30.0,0.9717206258091547
1.22,39.285714285714285,0.8120722542303106
1.22,48.57142857142857,0.8122020537319224
1.22,57.85714285714286,0.8423823944968724
1.22,67.14285714285714,0.5278240046916227
1.22,76.42857142857143,0.6360138024066447
1.22,85.71428571428572,0.41343708342679075
1.22,95.0,0.4935717086237088
1.5671428571428572,30.0,1.005810184389935
1.5671428571428572,39.285714285714285,0.7417015493745203
1.5671428571428572,48.57142857142857,0.746618686636362
1.5671428571428572,57.85714285714286,0.8299477910245653
1.5671428571428572,67.14285714285714,0.47906916961795426
1.5671428571428572,76.42857142857143,0.6221025158366771
1.5671428571428572,85.71428571428572,0.36474973913908804
1.5671428571428572,95.0,0.6545396350065911
1.9142857142857141,30.0,1.0561799444720488
1.9142857142857141,39.285714285714285,0.6962585878550002
1.9142857142857141,48.57142857142857,0.6777119265615541
1.9142857142857141,57.85714285714286,0.819461983448733
1.9142857142857141,67.14285714285714,0.5646284793430689
1.9142857142857141,76.42857142857143,0.5745946470692201
1.9142857142857141,85.71428571428572,0.41485522115720697
1.9142857142857141,95.0,0.9347669666582641
2.2614285714285716,30.0,1.0787212159387325
2.2614285714285716,39.285714285714285,0.734096247397493
2.2614285714285716,48.57142857142857,0.633087755775356
2.2614285714285716,57.85714285714286,0.8168068994362728
2.2614285714285716,67.14285714285714,0.6997633638306225
2.2614285714285716,76.42857142857143,0.5518144662316677
2.2614285714285716,85.71428571428572,0.6490422122154698
2.2614285714285716,95.0,1.1745595298383995
2.6085714285714285,30.0,1.095943505652754
2.6085714285714285,39.285714285714285,0.8497204881125086
2.6085714285714285,48.57142857142857,0.6152320028013286
2.6085714285714285,57.85714285714286,0.80646247968907
2.6085714285714285,67.14285714285714,0.821402634364601
2.6085714285714285,76.42857142857143,0.5351360047561389
2.6085714285714285,85.71428571428572,0.8475525747454307
2.6085714285714285,95.0,1.429976478037845
2.9557142857142855,30.0,1.128344854472198
2.9557142857142855,39.285714285714285,0.9534326771580213
2.9557142857142855,48.57142857142857,0.5821463524700945
2.9557142857142855,57.85714285714286,0.7568352375710052
2.9557142857142855,67.14285714285714,0.9485755834916146
2.9557142857142855,76.42857142857143,0.6700601369317869
2.9557142857142855,85.71428571428572,1.0090567390623286
2.9557142857142855,95.0,1.6224106465957817
3.3028571428571425,30.0,1.1338189619264103
3.3028571428571425,39.285714285714285,1.0744799570978671
3.3028571428571425,48.57142857142857,0.5834460068131821
3.3028571428571425,57.85714285714286,0.7379249217003925
3.3028571428571425,67.14285714285714,1.0292319378760901
3.3028571428571425,76.42857142857143,0.8828992972716674
3.3028571428571425,85.71428571428572,1.2272950692918905
3.3028571428571425,95.0,1.7929691550977436
3.65,30.0,1.1399842394986925
3.65,39.285714285714285,1.1488871328839485
3.65,48.57142857142857,0.6664260866530656
3.65,57.85714285714286,0.7221240177714149
3.65,67.14285714285714,1.1074081837282073
3.65,76.42857142857143,1.073097163264085
3.65,85.71428571428572,1.4828495736604779
3.65,95.0,2.0053704850036826
